,Visitor,visitor_score,Home,home_score,season,week,wins_visitor,wins_local,winner,favorite,underdog_win,division_visitor,division_home,interdivision
139,Atlanta FalconsATL,26,New Orleans SaintsNO,9,2019,10,1,7,Atlanta FalconsATL,New Orleans SaintsNO,Yes,NFC South,NFC South,Yes
140,New York GiantsNYG,27,New York JetsNYJ,34,2019,10,2,1,New York JetsNYJ,New York GiantsNYG,Yes,NFC East,AFC East,No
141,Arizona CardinalsARI,27,Tampa Bay BuccaneersTB,30,2019,10,3,2,Tampa Bay BuccaneersTB,Arizona CardinalsARI,Yes,NFC West,NFC South,No
142,Kansas City ChiefsKC,32,Tennessee TitansTEN,35,2019,10,6,4,Tennessee TitansTEN,Kansas City ChiefsKC,Yes,AFC West,AFC South,No
143,Miami DolphinsMIA,16,Indianapolis ColtsIND,12,2019,10,1,5,Miami DolphinsMIA,Indianapolis ColtsIND,Yes,AFC East,AFC South,No
144,Carolina PanthersCAR,16,Green Bay PackersGB,24,2019,10,5,7,Green Bay PackersGB,Green Bay PackersGB,No,NFC South,NFC North,No
145,Los Angeles RamsLA,12,Pittsburgh SteelersPIT,17,2019,10,5,4,Pittsburgh SteelersPIT,Los Angeles RamsLA,Yes,NFC West,AFC North,No
146,Minnesota VikingsMIN,28,Dallas CowboysDAL,24,2019,10,6,5,Minnesota VikingsMIN,Minnesota VikingsMIN,No,NFC North,NFC East,No
147,Seattle SeahawksSEA,27,San Francisco 49ersSF,24,2019,10,7,8,Seattle SeahawksSEA,San Francisco 49ersSF,Yes,NFC West,NFC West,Yes
148,Pittsburgh SteelersPIT,7,Cleveland BrownsCLE,21,2019,11,5,3,Cleveland BrownsCLE,Pittsburgh SteelersPIT,Yes,AFC North,AFC North,Yes
149,Houston TexansHOU,7,Baltimore RavensBAL,41,2019,11,6,7,Baltimore RavensBAL,Baltimore RavensBAL,No,AFC South,AFC North,No
150,Atlanta FalconsATL,29,Carolina PanthersCAR,3,2019,11,2,5,Atlanta FalconsATL,Carolina PanthersCAR,Yes,NFC South,NFC South,Yes
151,Dallas CowboysDAL,35,Detroit LionsDET,27,2019,11,5,3,Dallas CowboysDAL,Dallas CowboysDAL,No,NFC East,NFC South,No
152,Jacksonville JaguarsJAX,13,Indianapolis ColtsIND,33,2019,11,4,5,Indianapolis ColtsIND,Indianapolis ColtsIND,No,AFC South,AFC South,Yes
153,Buffalo BillsBUF,37,Miami DolphinsMIA,20,2019,11,6,2,Buffalo BillsBUF,Buffalo BillsBUF,No,AFC East,AFC East,Yes
154,Denver BroncosDEN,23,Minnesota VikingsMIN,27,2019,11,3,7,Minnesota VikingsMIN,Minnesota VikingsMIN,No,AFC West,NFC North,No
